epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2014,1.768,4.54076,1.7735,0.00333,1,0.01063,0.0057,0.5545,3.97332,0.90381,8e-05,8e-05,8e-05
2,49.5555,0.99898,3.43614,1.03161,0.00333,1,0.955,0.52756,0.99991,3.88125,0.82685,0.00017109,0.00017109,0.00017109
3,71.2826,1.28808,2.6243,1.03046,0.00333,1,0.995,0.59939,1.06099,3.63257,0.89916,0.00025228,0.00025228,0.00025228
4,92.7888,1.32657,2.26019,1.11427,0.00333,1,0.995,0.66694,0.99216,3.8008,0.82784,0.00032357,0.00032357,0.00032357
5,114.498,1.25013,2.34611,1.11653,0.00333,1,0.995,0.64329,0.85254,3.83705,0.80832,0.00038496,0.00038496,0.00038496
6,135.979,1.09237,1.92862,0.98636,0.00333,1,0.995,0.72088,0.94236,3.64393,0.82623,0.00043645,0.00043645,0.00043645
7,158.474,1.07426,1.7092,1.00645,0.00333,1,0.995,0.63236,0.99819,3.48483,0.857,0.00047804,0.00047804,0.00047804
8,179.827,1.09945,1.88961,1.05177,0.00333,1,0.97214,0.53976,0.89088,3.83794,0.82414,0.00050973,0.00050973,0.00050973
9,201.425,1.20822,1.71331,1.10123,0.00333,1,0.995,0.59467,0.82226,3.57989,0.82441,0.00053152,0.00053152,0.00053152
10,223.101,1.08408,1.72482,1.06995,0.00333,1,0.995,0.68654,0.82016,3.59331,0.80126,0.00054341,0.00054341,0.00054341
11,244.51,0.96961,1.95979,1.00617,0.00333,1,0.76183,0.42452,0.97499,3.54919,0.91284,0.0005454,0.0005454,0.0005454
12,266.105,0.85291,1.87386,0.92406,0.00333,1,0.14788,0.0969,1.00276,3.55371,0.90424,0.00053749,0.00053749,0.00053749
13,287.463,0.99278,1.85166,0.95888,0.00333,1,0.32773,0.16272,0.96537,3.46676,1.04558,0.00051968,0.00051968,0.00051968
14,309.311,0.82185,1.70295,0.92547,0.00333,1,0.84843,0.61714,0.9672,3.26382,1.00007,0.00049197,0.00049197,0.00049197
15,330.861,0.83597,1.60517,0.90229,0.97014,1,0.995,0.85254,0.71935,2.98129,0.85578,0.00045436,0.00045436,0.00045436
16,352.124,0.82847,1.58069,0.96046,1,0.62431,0.995,0.83234,0.74092,2.82804,0.84382,0.00040685,0.00040685,0.00040685
17,373.597,0.7422,1.55853,0.88527,1,0.92714,0.995,0.87669,0.5774,2.52332,0.80916,0.00034944,0.00034944,0.00034944
18,395.151,0.67581,1.42599,0.88714,0.98914,1,0.995,0.87906,0.58129,2.4882,0.81123,0.00028213,0.00028213,0.00028213
19,416.702,0.664,1.4894,0.87627,0.95883,1,0.995,0.87906,0.61295,2.38176,0.81995,0.00020492,0.00020492,0.00020492
20,438.081,0.55747,1.40051,0.86936,0.95681,1,0.995,0.84569,0.61737,2.19456,0.82216,0.00011781,0.00011781,0.00011781
